iter	Passed	Remaining
0	5	496
1	7	388
2	10	325
3	11	280
4	14	266
5	16	251
6	18	242
7	20	234
8	22	227
9	24	221
10	27	221
11	29	217
12	31	212
13	33	206
14	35	200
15	37	195
16	38	189
17	40	182
18	41	178
19	43	173
20	44	168
21	46	163
22	47	158
23	48	154
24	50	150
25	51	146
26	52	142
27	54	139
28	55	136
29	57	133
30	58	129
31	59	126
32	60	123
33	62	121
34	63	118
35	65	115
36	66	113
37	68	111
38	69	109
39	71	106
40	72	104
41	72	100
42	74	98
43	75	96
44	76	94
45	78	91
46	79	89
47	81	88
48	83	86
49	85	85
50	86	83
51	88	81
52	89	79
53	91	77
54	92	75
55	93	73
56	95	72
57	97	70
58	99	69
59	101	67
60	102	65
61	105	64
62	107	62
63	108	61
64	110	59
65	112	58
66	114	56
67	116	54
68	117	53
69	120	51
70	122	49
71	124	48
72	125	46
73	127	44
74	129	43
75	131	41
76	133	39
77	135	38
78	136	36
79	138	34
80	140	32
81	142	31
82	143	29
83	145	27
84	147	25
85	149	24
86	151	22
87	152	20
88	154	19
89	155	17
90	157	15
91	158	13
92	160	12
93	162	10
94	163	8
95	164	6
96	166	5
97	167	3
98	168	1
99	169	0
