iter	Passed	Remaining
0	3204	3201598
1	3206	1600150
2	3213	1067883
3	3244	807851
4	3294	655542
5	3296	546089
6	3300	468207
7	3338	414012
8	3353	369219
9	3355	332147
10	3356	301798
11	3358	276535
12	3362	255265
13	3364	236986
14	3367	221100
15	3369	207196
16	3371	194935
17	3378	184325
18	3381	174600
19	3383	165787
20	3385	157810
21	3387	150578
22	3390	144043
23	3392	137965
24	3394	132388
25	3396	127226
26	3397	122451
27	3403	118158
28	3405	114026
29	3407	110163
30	3408	106553
31	3410	103179
32	3412	100004
33	3420	97177
34	3422	94361
35	3424	91699
36	3426	89173
37	3432	86897
38	3434	84635
39	3436	82486
40	3439	80440
41	3440	78483
42	3447	76735
43	3451	74998
44	3453	73294
45	3455	71661
46	3458	70120
47	3461	68652
48	3467	67294
49	3474	66020
50	3477	64706
51	3484	63523
52	3488	62335
53	3492	61191
54	3499	60122
55	3510	59171
56	3518	58202
57	3530	57336
58	3533	56356
59	3544	55530
60	3547	54614
61	3556	53807
62	3561	52963
63	3573	52265
64	3584	51558
65	3599	50937
66	3604	50198
67	3608	49456
68	3620	48845
69	3636	48308
70	3642	47665
71	3645	46992
72	3648	46328
73	3650	45682
74	3657	45111
75	3664	44549
76	3667	43957
77	3677	43473
78	3680	42904
79	3693	42472
80	3699	41971
81	3712	41562
82	3714	41036
83	3725	40630
84	3729	40149
85	3743	39784
86	3756	39426
87	3760	38974
88	3770	38590
89	3773	38155
90	3776	37727
91	3787	37385
92	3797	37039
93	3801	36641
94	3809	36294
95	3815	35931
96	3833	35691
97	3847	35413
98	3850	35044
99	3857	34713
100	3860	34362
101	3862	34008
102	3871	33718
103	3876	33397
104	3879	33065
105	3886	32777
106	3890	32472
107	3906	32265
108	3910	31964
109	3919	31711
110	3924	31430
111	3927	31135
112	3934	30886
113	3938	30608
114	3940	30326
115	3944	30060
116	3947	29791
117	3950	29528
118	3953	29267
119	3955	29008
120	3963	28792
121	3966	28544
122	3968	28296
123	3971	28056
124	3978	27847
125	3980	27611
126	3985	27394
127	3989	27175
128	3992	26955
129	3994	26730
130	3995	26507
131	3997	26286
132	3999	26070
133	4000	25856
134	4002	25646
135	4005	25445
136	4006	25240
137	4008	25038
138	4010	24839
139	4012	24645
140	4014	24458
141	4017	24271
142	4023	24110
143	4027	23942
144	4029	23761
145	4031	23582
146	4039	23438
147	4042	23270
148	4044	23098
149	4046	22929
150	4049	22767
151	4051	22605
152	4054	22443
153	4056	22283
154	4058	22124
155	4061	21972
156	4063	21817
157	4065	21664
158	4073	21544
159	4076	21399
160	4077	21247
161	4079	21101
162	4082	20964
163	4086	20833
164	4088	20692
165	4090	20553
166	4092	20415
167	4095	20282
168	4105	20186
169	4107	20054
170	4109	19923
171	4125	19862
172	4134	19764
173	4136	19635
174	4138	19511
175	4141	19388
176	4147	19283
177	4151	19169
178	4153	19049
179	4155	18932
180	4161	18831
181	4164	18718
182	4186	18691
183	4188	18575
184	4193	18473
185	4196	18367
186	4199	18256
187	4201	18146
188	4203	18037
189	4207	17935
190	4209	17828
191	4210	17720
192	4212	17615
193	4215	17512
194	4219	17420
195	4222	17319
196	4223	17217
197	4225	17117
198	4231	17031
199	4236	16944
200	4238	16846
201	4240	16750
202	4242	16654
203	4249	16581
204	4251	16487
205	4252	16392
206	4254	16299
207	4256	16206
208	4261	16129
209	4263	16039
210	4265	15949
211	4267	15860
212	4278	15808
213	4282	15728
214	4284	15643
215	4286	15558
216	4293	15492
217	4296	15410
218	4297	15326
219	4299	15243
220	4301	15160
221	4302	15079
222	4307	15007
223	4308	14927
224	4310	14847
225	4312	14768
226	4313	14690
227	4315	14613
228	4317	14536
229	4322	14471
230	4325	14400
231	4327	14326
232	4329	14252
233	4331	14178
234	4335	14112
235	4338	14044
236	4340	13973
237	4342	13902
238	4343	13831
239	4345	13761
240	4351	13704
241	4353	13635
242	4355	13568
243	4357	13501
244	4359	13434
245	4362	13372
246	4367	13315
247	4369	13250
248	4371	13185
249	4374	13122
250	4382	13077
251	4384	13014
252	4386	12950
253	4388	12888
254	4391	12829
255	4394	12771
256	4396	12711
257	4399	12652
258	4401	12592
259	4403	12532
260	4410	12488
261	4413	12432
262	4415	12373
263	4417	12315
264	4426	12277
265	4428	12220
266	4430	12163
267	4432	12107
268	4441	12068
269	4443	12013
270	4445	11959
271	4448	11905
272	4458	11873
273	4460	11818
274	4462	11764
275	4464	11711
276	4471	11671
277	4473	11619
278	4475	11566
279	4477	11514
280	4481	11468
281	4484	11418
282	4486	11367
283	4491	11324
284	4500	11291
285	4504	11246
286	4506	11196
287	4514	11161
288	4518	11115
289	4520	11067
290	4523	11021
291	4529	10981
292	4531	10933
293	4533	10886
294	4535	10838
295	4537	10792
296	4544	10756
297	4547	10713
298	4549	10666
299	4551	10620
300	4554	10575
301	4563	10547
302	4565	10502
303	4568	10459
304	4572	10420
305	4575	10376
306	4577	10331
307	4578	10287
308	4580	10243
309	4582	10199
310	4583	10154
311	4586	10114
312	4590	10076
313	4592	10033
314	4594	9991
315	4596	9948
316	4602	9916
317	4605	9876
318	4606	9834
319	4608	9793
320	4610	9752
321	4616	9720
322	4619	9682
323	4621	9642
324	4623	9601
325	4624	9561
326	4626	9522
327	4632	9491
328	4635	9455
329	4637	9416
330	4639	9377
331	4641	9339
332	4650	9314
333	4652	9276
334	4654	9239
335	4656	9201
336	4661	9170
337	4663	9133
338	4665	9097
339	4667	9059
340	4669	9023
341	4670	8986
342	4677	8958
343	4680	8926
344	4697	8918
345	4699	8882
346	4701	8847
347	4706	8818
348	4709	8783
349	4711	8749
350	4712	8714
351	4714	8679
352	4725	8662
353	4728	8628
354	4731	8596
355	4733	8562
356	4740	8538
357	4743	8505
358	4745	8472
359	4752	8449
360	4754	8416
361	4774	8414
362	4780	8388
363	4789	8367
364	4801	8353
365	4805	8324
366	4830	8331
367	4833	8300
368	4842	8281
369	4845	8250
370	4865	8249
371	4876	8231
372	4903	8243
373	4909	8217
374	4917	8195
375	4921	8167
376	4923	8136
377	4927	8108
378	4934	8085
379	4937	8055
380	4942	8029
381	4950	8009
382	4954	7981
383	4965	7965
384	4968	7937
385	4971	7908
